EDGES
ID, X, Y
218, 474117.38, 469794.24
219, 474104.64, 469794.24
220, 474282.08, 469794.24
221, 474275.8, 469794.24
222, 474304.88, 469794.24
223, 474299.3, 469794.24
224, 474376.81, 469794.24
225, 474389.89, 469794.24
226, 474426.38, 469794.24
227, 474439.47, 469794.24
228, 474817.95, 469794.24
229, 474820.21, 469794.24
230, 474669.53, 469794.24
231, 474832.95, 469794.24
232, 474483.47, 469794.24
233, 474728.02, 469794.24
234, 474588.89, 469794.24
235, 474813.2, 469794.24
236, 474674.19, 469794.24
237, 474678.7, 469794.24
238, 474973.55, 469794.24
239, 474997.49, 469794.24
240, 474996.84, 469794.24
241, 475141.34, 469794.24
242, 475118.24, 469794.24
243, 475026.05, 469794.24
244, 475717.23, 469794.24
245, 475175.98, 469794.24
246, 475193.14, 469794.24
247, 475097.57, 469794.24
248, 475110.49, 469794.24
249, 475112.06, 469794.24
250, 475124.51, 469794.24
251, 475077.61, 469794.24
252, 475122.17, 469794.24
253, 475163.52, 469794.24
254, 475090.85, 469794.24
255, 475113.34, 469794.24
256, 475121.66, 469794.24
257, 475152.08, 469794.24
258, 475155.13, 469794.24
259, 475461.29, 469794.24
260, 475466.33, 469794.24
261, 475207.28, 469794.24
262, 475250.73, 469794.24
263, 475222.11, 469794.24
264, 475209.52, 469794.24
265, 475352.42, 469794.24
266, 475354.54, 469794.24
267, 475626.04, 469794.24
268, 475692.75, 469794.24
269, 475461.19, 469794.24
270, 475447.85, 469794.24
271, 475707.05, 469794.24
272, 475637.77, 469794.24
273, 475661.55, 469794.24
274, 476545.78, 469794.24
275, 476541.8, 469794.24
276, 476057.4, 469794.24
277, 476070.63, 469794.24
278, 475993.2, 469794.24
279, 476022.96, 469794.24
280, 476039.16, 469794.24
281, 476123.32, 469794.24
282, 476160.3, 469794.24
283, 476086.77, 469794.24
284, 476228.36, 469794.24
285, 476167.44, 469794.24
286, 476586.25, 469794.24
287, 476729.45, 469794.24
288, 476787.64, 469794.24
289, 476577.35, 469794.24
290, 476626.07, 469794.24
291, 476627.82, 469794.24
292, 476803.06, 469794.24
293, 476721.73, 469794.24
294, 476802.24, 469794.24
295, 476799.51, 469794.24
296, 476827.69, 469794.24
297, 476965.52, 469794.24
298, 476993.58, 469794.24
299, 467656.09, 469794.24
300, 467862.4, 469794.24
301, 465127.91, 469794.24
302, 464604.3, 469794.24
303, 479024.98, 469794.24
304, 479036.67, 469794.24
305, 478447.81, 469794.24
306, 478434.6, 469794.24
307, 478040.1, 469794.24
308, 478010.89, 469794.24
309, 477866.27, 469794.24
310, 477933.4, 469794.24
311, 478028.88, 469794.24
312, 478011.11, 469794.24
313, 478432.0, 469794.24
314, 478428.77, 469794.24
315, 478691.78, 469794.24
316, 478629.56, 469794.24
317, 478456.96, 469794.24
318, 478519.9, 469794.24
319, 478872.33, 469794.24
320, 478844.8, 469794.24
321, 478987.39, 469794.24
322, 478947.94, 469794.24
323, 470483.53, 469794.24
324, 470618.9, 469794.24
325, 479860.98, 469794.24
326, 479871.03, 469794.24
327, 479344.77, 469794.24
328, 479425.55, 469794.24
329, 479351.02, 469794.24
330, 479403.3, 469794.24
331, 471188.12, 469794.24
332, 470340.08, 469794.24
333, 470699.93, 469794.24
334, 470778.42, 469794.24
